DateTime,Date,demand
2018-01-01 00:00:00,20180101T00Z,52917
2018-01-01 01:00:00,20180101T01Z,54476
2018-01-01 02:00:00,20180101T02Z,54009
2018-01-01 03:00:00,20180101T03Z,53207
2018-01-01 04:00:00,20180101T04Z,52403
2018-01-01 05:00:00,20180101T05Z,51437
2018-01-01 06:00:00,20180101T06Z,50863
2018-01-01 07:00:00,20180101T07Z,50587
2018-01-01 08:00:00,20180101T08Z,50650
2018-01-01 09:00:00,20180101T09Z,50737
2018-01-01 10:00:00,20180101T10Z,51021
2018-01-01 11:00:00,20180101T11Z,51727
2018-01-01 12:00:00,20180101T12Z,52953
2018-01-01 13:00:00,20180101T13Z,54315
2018-01-01 14:00:00,20180101T14Z,55106
2018-01-01 15:00:00,20180101T15Z,55567
2018-01-01 16:00:00,20180101T16Z,56087
2018-01-01 17:00:00,20180101T17Z,55952
2018-01-01 18:00:00,20180101T18Z,55272
2018-01-01 19:00:00,20180101T19Z,54104
2018-01-01 20:00:00,20180101T20Z,52642
2018-01-01 21:00:00,20180101T21Z,51450
2018-01-01 22:00:00,20180101T22Z,50785
2018-01-01 23:00:00,20180101T23Z,51339
2018-01-02 00:00:00,20180102T00Z,54199
2018-01-02 01:00:00,20180102T01Z,57027
2018-01-02 02:00:00,20180102T02Z,57318
2018-01-02 03:00:00,20180102T03Z,57274
2018-01-02 04:00:00,20180102T04Z,56380
2018-01-02 05:00:00,20180102T05Z,54452
2018-01-02 06:00:00,20180102T06Z,52594
2018-01-02 07:00:00,20180102T07Z,51219
2018-01-02 08:00:00,20180102T08Z,50518
2018-01-02 09:00:00,20180102T09Z,50239
2018-01-02 10:00:00,20180102T10Z,50385
2018-01-02 11:00:00,20180102T11Z,51235
2018-01-02 12:00:00,20180102T12Z,53353
2018-01-02 13:00:00,20180102T13Z,56170
2018-01-02 14:00:00,20180102T14Z,57810
2018-01-02 15:00:00,20180102T15Z,58350
2018-01-02 16:00:00,20180102T16Z,58968
2018-01-02 17:00:00,20180102T17Z,59160
2018-01-02 18:00:00,20180102T18Z,58725
2018-01-02 19:00:00,20180102T19Z,57931
2018-01-02 20:00:00,20180102T20Z,57334
2018-01-02 21:00:00,20180102T21Z,56965
2018-01-02 22:00:00,20180102T22Z,57026
2018-01-02 23:00:00,20180102T23Z,57875
2018-01-03 00:00:00,20180103T00Z,60163
2018-01-03 01:00:00,20180103T01Z,61957
2018-01-03 02:00:00,20180103T02Z,61807
2018-01-03 03:00:00,20180103T03Z,61153
2018-01-03 04:00:00,20180103T04Z,59575
2018-01-03 05:00:00,20180103T05Z,57020
2018-01-03 06:00:00,20180103T06Z,55027
2018-01-03 07:00:00,20180103T07Z,53958
2018-01-03 08:00:00,20180103T08Z,53717
2018-01-03 09:00:00,20180103T09Z,53910
2018-01-03 10:00:00,20180103T10Z,54638
2018-01-03 11:00:00,20180103T11Z,55923
2018-01-03 12:00:00,20180103T12Z,58470
2018-01-03 13:00:00,20180103T13Z,61821
2018-01-03 14:00:00,20180103T14Z,62879
2018-01-03 15:00:00,20180103T15Z,61347
