DateTime,Date,price
2019-10-01,201910,8.87
2019-09-01,201909,9.24
2019-08-01,201908,9.61
2019-07-01,201907,8.8
2019-06-01,201906,8.68
2019-05-01,201905,8.41
2019-04-01,201904,8.3
2019-03-01,201903,8.47
2019-02-01,201902,8.5
2019-01-01,201901,8.53
2018-12-01,201812,8.03
2018-11-01,201811,8.35
2018-10-01,201810,8.36
2018-09-01,201809,8.58
2018-08-01,201808,8.82
2018-07-01,201807,8.82
2018-06-01,201806,8.77
2018-05-01,201805,8.38
2018-04-01,201804,8.13
2018-03-01,201803,8.23
2018-02-01,201802,8.46
2018-01-01,201801,8.49
2017-12-01,201712,8.07
2017-11-01,201711,8.17
2017-10-01,201710,8.35
2017-09-01,201709,8.57
2017-08-01,201708,8.6
2017-07-01,201707,8.62
2017-06-01,201706,8.55
2017-05-01,201705,8.33
2017-04-01,201704,8.25
2017-03-01,201703,8.14
2017-02-01,201702,8.33
2017-01-01,201701,8.32
2016-12-01,201612,8.23
2016-11-01,201611,8.25
2016-10-01,201610,8.42
2016-09-01,201609,8.7
2016-08-01,201608,8.65
2016-07-01,201607,8.65
2016-06-01,201606,8.54
2016-05-01,201605,8.26
2016-04-01,201604,8.13
2016-03-01,201603,8.23
2016-02-01,201602,8.36
2016-01-01,201601,8.38
2015-12-01,201512,8.22
2015-11-01,201511,8.13
2015-10-01,201510,8.35
2015-09-01,201509,8.8
2015-08-01,201508,8.98
2015-07-01,201507,8.9
2015-06-01,201506,8.84
2015-05-01,201505,8.63
2015-04-01,201504,8.46
2015-03-01,201503,8.85
2015-02-01,201502,8.94
2015-01-01,201501,9.01
2014-12-01,201412,8.81
2014-11-01,201411,8.75
2014-10-01,201410,8.95
2014-09-01,201409,9.16
2014-08-01,201408,9.28
2014-07-01,201407,9.33
2014-06-01,201406,9.2
2014-05-01,201405,8.55
2014-04-01,201404,8.55
2014-03-01,201403,8.79
2014-02-01,201402,8.85
2014-01-01,201401,8.75
2013-12-01,201312,8.67
2013-11-01,201311,8.39
2013-10-01,201310,8.63
2013-09-01,201309,8.81
2013-08-01,201308,9.0
2013-07-01,201307,9.01
2013-06-01,201306,8.89
2013-05-01,201305,8.59
2013-04-01,201304,8.38
2013-03-01,201303,8.31
2013-02-01,201302,8.39
2013-01-01,201301,8.45
2012-12-01,201212,8.38
2012-11-01,201211,8.27
2012-10-01,201210,8.43
2012-09-01,201209,8.78
2012-08-01,201208,8.87
2012-07-01,201207,8.78
2012-06-01,201206,8.71
2012-05-01,201205,8.35
2012-04-01,201204,8.26
2012-03-01,201203,8.31
2012-02-01,201202,8.59
2012-01-01,201201,8.56
2011-12-01,201112,8.61
2011-11-01,201111,8.58
2011-10-01,201110,8.74
2011-09-01,201109,9.34
2011-08-01,201108,9.62
2011-07-01,201107,9.34
2011-06-01,201106,9.28
2011-05-01,201105,8.83
2011-04-01,201104,8.59
2011-03-01,201103,8.75
2011-02-01,201102,8.94
2011-01-01,201101,8.7
2010-12-01,201012,9.02
2010-11-01,201011,8.66
2010-10-01,201010,9.15
2010-09-01,201009,9.35
2010-08-01,201008,9.63
2010-07-01,201007,9.53
2010-06-01,201006,9.57
2010-05-01,201005,9.3
2010-04-01,201004,9.34
2010-03-01,201003,9.38
2010-02-01,201002,9.49
2010-01-01,201001,9.43
2009-12-01,200912,9.36
2009-11-01,200911,9.24
2009-10-01,200910,9.39
2009-09-01,200909,9.64
2009-08-01,200908,9.85
2009-07-01,200907,10.02
2009-06-01,200906,10.27
2009-05-01,200905,9.87
2009-04-01,200904,9.74
2009-03-01,200903,10.02
2009-02-01,200902,10.41
2009-01-01,200901,10.41
2008-12-01,200812,10.82
2008-11-01,200811,10.56
2008-10-01,200810,10.98
2008-09-01,200809,11.33
2008-08-01,200808,11.9
2008-07-01,200807,12.22
2008-06-01,200806,11.92
2008-05-01,200805,10.62
2008-04-01,200804,10.52
2008-03-01,200803,10.1
2008-02-01,200802,9.77
2008-01-01,200801,10.14
