"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 01:00 am",0
"Jan 1, 02:00 am",0
"Jan 1, 03:00 am",0
"Jan 1, 04:00 am",0
"Jan 1, 05:00 am",0
"Jan 1, 06:00 am",0
"Jan 1, 07:00 am",6.50931
"Jan 1, 08:00 am",315.544
"Jan 1, 09:00 am",705.95
"Jan 1, 10:00 am",804.586
"Jan 1, 11:00 am",1006.46
"Jan 1, 12:00 pm",1043.23
"Jan 1, 01:00 pm",1056.43
"Jan 1, 02:00 pm",911.53
"Jan 1, 03:00 pm",705.906
"Jan 1, 04:00 pm",407.568
"Jan 1, 05:00 pm",56.9648
"Jan 1, 06:00 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 11:00 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 01:00 am",0
"Jan 2, 02:00 am",0
"Jan 2, 03:00 am",0
"Jan 2, 04:00 am",0
"Jan 2, 05:00 am",0
"Jan 2, 06:00 am",0
"Jan 2, 07:00 am",0
"Jan 2, 08:00 am",459.107
"Jan 2, 09:00 am",794.867
"Jan 2, 10:00 am",1026.03
"Jan 2, 11:00 am",1164.4
"Jan 2, 12:00 pm",1201
"Jan 2, 01:00 pm",1155.94
"Jan 2, 02:00 pm",1017.66
"Jan 2, 03:00 pm",798.166
"Jan 2, 04:00 pm",482.831
"Jan 2, 05:00 pm",98.7538
"Jan 2, 06:00 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 11:00 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 01:00 am",0
"Jan 3, 02:00 am",0
"Jan 3, 03:00 am",0
"Jan 3, 04:00 am",0
"Jan 3, 05:00 am",0
"Jan 3, 06:00 am",0
"Jan 3, 07:00 am",0
"Jan 3, 08:00 am",455.448
"Jan 3, 09:00 am",767.368
"Jan 3, 10:00 am",964.021
"Jan 3, 11:00 am",1078.45
"Jan 3, 12:00 pm",1105.62
"Jan 3, 01:00 pm",1061.45
"Jan 3, 02:00 pm",938.025
"Jan 3, 03:00 pm",748.241
"Jan 3, 04:00 pm",472.844
"Jan 3, 05:00 pm",103.637
"Jan 3, 06:00 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 11:00 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 01:00 am",0
"Jan 4, 02:00 am",0
"Jan 4, 03:00 am",0
"Jan 4, 04:00 am",0
"Jan 4, 05:00 am",0
"Jan 4, 06:00 am",0
"Jan 4, 07:00 am",0
"Jan 4, 08:00 am",425.566
"Jan 4, 09:00 am",733.327
"Jan 4, 10:00 am",948.428
"Jan 4, 11:00 am",1077.58
"Jan 4, 12:00 pm",1110.58
"Jan 4, 01:00 pm",1068.29
"Jan 4, 02:00 pm",947.718
"Jan 4, 03:00 pm",736.973
"Jan 4, 04:00 pm",446.275
"Jan 4, 05:00 pm",84.2266
"Jan 4, 06:00 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 11:00 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 01:00 am",0
"Jan 5, 02:00 am",0
"Jan 5, 03:00 am",0
"Jan 5, 04:00 am",0
"Jan 5, 05:00 am",0
"Jan 5, 06:00 am",0
"Jan 5, 07:00 am",0
"Jan 5, 08:00 am",366.749
"Jan 5, 09:00 am",671.412
"Jan 5, 10:00 am",889.32
