"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",1163.7
"Jan 1, 01:00 am",1006.24
"Jan 1, 02:00 am",834.209
"Jan 1, 03:00 am",1042.97
"Jan 1, 04:00 am",978.599
"Jan 1, 05:00 am",926.295
"Jan 1, 06:00 am",931.36
"Jan 1, 07:00 am",936.341
"Jan 1, 08:00 am",553.251
"Jan 1, 09:00 am",267.428
"Jan 1, 10:00 am",240.209
"Jan 1, 11:00 am",673.65
"Jan 1, 12:00 pm",1052.86
"Jan 1, 01:00 pm",1195.71
"Jan 1, 02:00 pm",865.374
"Jan 1, 03:00 pm",473.42
"Jan 1, 04:00 pm",434.933
"Jan 1, 05:00 pm",468.946
"Jan 1, 06:00 pm",849.575
"Jan 1, 07:00 pm",1216.46
"Jan 1, 08:00 pm",1124.9
"Jan 1, 09:00 pm",850.473
"Jan 1, 10:00 pm",665.677
"Jan 1, 11:00 pm",537.893
"Jan 2, 12:00 am",713.012
"Jan 2, 01:00 am",821.794
"Jan 2, 02:00 am",796.242
"Jan 2, 03:00 am",449.333
"Jan 2, 04:00 am",358.377
"Jan 2, 05:00 am",419.79
"Jan 2, 06:00 am",409.435
"Jan 2, 07:00 am",398.834
"Jan 2, 08:00 am",258.756
"Jan 2, 09:00 am",414.573
"Jan 2, 10:00 am",339.342
"Jan 2, 11:00 am",113.468
"Jan 2, 12:00 pm",114.472
"Jan 2, 01:00 pm",370.292
"Jan 2, 02:00 pm",703.944
"Jan 2, 03:00 pm",1015.25
"Jan 2, 04:00 pm",1305.77
"Jan 2, 05:00 pm",1435.43
"Jan 2, 06:00 pm",1394.23
"Jan 2, 07:00 pm",1325.21
"Jan 2, 08:00 pm",1375.45
"Jan 2, 09:00 pm",1303.56
"Jan 2, 10:00 pm",1297.64
"Jan 2, 11:00 pm",1233
"Jan 3, 12:00 am",1178.19
"Jan 3, 01:00 am",1038.75
"Jan 3, 02:00 am",1036.52
"Jan 3, 03:00 am",1281.78
"Jan 3, 04:00 am",1205.75
